Job_ID,Date,Service_Type,Client_Name,Crew_Assigned,Hours_Worked,Revenue,Cost,City,Job_Status,Contract_Type,Payment_Mode,Customer_Segment,Month,Profit,Revenue_per_Hour,Profit_Margin,Month2
1012,20-08-2024,Lawn Mowing,Green Cafe,Crew A,1.5,$85.00,$42.00,Laval,Completed,Recurring,Cash,Commercial,2024-08,$43.00,56.66666667,50.59%,2024-08
1020,12-05-2024,Lawn Mowing,Anne Lee,Crew B,1.0,$85.00,$42.00,Montreal,Completed,Recurring,Credit Card,Residential,2024-05,$43.00,85,50.59%,2024-05
1007,16-06-2024,Lawn Mowing,Green Cafe,Crew B,1.5,$80.00,$40.00,Laval,Completed,Recurring,Cash,Commercial,2024-06,$40.00,53.33333333,50.00%,2024-06
1010,10-07-2024,Lawn Mowing,Oak Residence,Crew B,1.0,$70.00,$35.00,Montreal,Completed,One-Time,Cash,Residential,2024-07,$35.00,70,50.00%,2024-07
30,,,,,,"$4,890.00","$2,354.00",,,,,,,"$2,536.00",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,30,4890,2354,2536,,,,,,
